target_id	prey_id	prey_length	n_observations
RFA1	ACT1	375	4
RFA1	ENO2	437	4
RFA1	HIS3	220	4
RFA1	PGK1	416	4
RFA1	RAD24	659	4
RFA1	RAD51	400	4
RFA1	RAD52	471	4
RFA1	RFA2	273	4
RFA1	RFA3	122	4
RFA1	TDH3	332	4
